"Cosine","SE","Comparison","X..of.Traits","X..of.Families","Heritability","Multicollinearity","E.Type"
0.97,0.01,"P and estimated G",4,500,0.5,"medium","sim"
1,0,"P and true G",4,50,0.1,"high","sim"
0.86,0.02,"Estimated G and true G",4,50,0.1,"high","sim"
0.86,0.02,"P and estimated G",4,50,0.1,"high","sim"
1,0,"P and true G",4,150,0.1,"high","sim"
0.92,0.02,"Estimated G and true G",4,150,0.1,"high","sim"
0.91,0.02,"P and estimated G",4,150,0.1,"high","sim"
1,0,"P and true G",4,500,0.1,"high","sim"
0.96,0.01,"Estimated G and true G",4,500,0.1,"high","sim"
0.96,0.01,"P and estimated G",4,500,0.1,"high","sim"
1,0,"P and true G",4,50,0.5,"high","sim"
0.98,0,"Estimated G and true G",4,50,0.5,"high","sim"
0.98,0,"P and estimated G",4,50,0.5,"high","sim"
1,0,"P and true G",4,150,0.5,"high","sim"
1,0,"Estimated G and true G",4,150,0.5,"high","sim"
1,0,"P and estimated G",4,150,0.5,"high","sim"
1,0,"P and true G",4,500,0.5,"high","sim"
1,0,"Estimated G and true G",4,500,0.5,"high","sim"
1,0,"P and estimated G",4,500,0.5,"high","sim"
0.33,0.03,"P and true G",4,50,0.1,"low","opp"
0.53,0.03,"Estimated G and true G",4,50,0.1,"low","opp"
0.45,0.03,"P and estimated G",4,50,0.1,"low","opp"
0.34,0.02,"P and true G",4,150,0.1,"low","opp"
0.57,0.03,"Estimated G and true G",4,150,0.1,"low","opp"
0.46,0.03,"P and estimated G",4,150,0.1,"low","opp"
0.29,0.02,"P and true G",4,500,0.1,"low","opp"
0.58,0.03,"Estimated G and true G",4,500,0.1,"low","opp"
0.45,0.03,"P and estimated G",4,500,0.1,"low","opp"
0.7,0.03,"P and true G",4,50,0.5,"low","opp"
0.67,0.03,"Estimated G and true G",4,50,0.5,"low","opp"
0.73,0.03,"P and estimated G",4,50,0.5,"low","opp"
0.71,0.03,"P and true G",4,150,0.5,"low","opp"
0.69,0.03,"Estimated G and true G",4,150,0.5,"low","opp"
0.75,0.02,"P and estimated G",4,150,0.5,"low","opp"
0.7,0.03,"P and true G",4,500,0.5,"low","opp"
0.72,0.03,"Estimated G and true G",4,500,0.5,"low","opp"
0.73,0.03,"P and estimated G",4,500,0.5,"low","opp"
0.09,0.01,"P and true G",4,50,0.1,"medium","opp"
0.63,0.03,"Estimated G and true G",4,50,0.1,"medium","opp"
0.34,0.02,"P and estimated G",4,50,0.1,"medium","opp"
0.07,0.01,"P and true G",4,150,0.1,"medium","opp"
0.75,0.03,"Estimated G and true G",4,150,0.1,"medium","opp"
0.28,0.02,"P and estimated G",4,150,0.1,"medium","opp"
0.06,0.01,"P and true G",4,500,0.1,"medium","opp"
0.93,0.01,"Estimated G and true G",4,500,0.1,"medium","opp"
0.17,0.02,"P and estimated G",4,500,0.1,"medium","opp"
0.54,0.03,"P and true G",4,50,0.5,"medium","opp"
0.92,0.01,"Estimated G and true G",4,50,0.5,"medium","opp"
0.6,0.03,"P and estimated G",4,50,0.5,"medium","opp"
0.56,0.03,"P and true G",4,150,0.5,"medium","opp"
0.98,0.01,"Estimated G and true G",4,150,0.5,"medium","opp"
0.57,0.03,"P and estimated G",4,150,0.5,"medium","opp"
0.59,0.03,"P and true G",4,500,0.5,"medium","opp"
0.99,0,"Estimated G and true G",4,500,0.5,"medium","opp"
0.61,0.03,"P and estimated G",4,500,0.5,"medium","opp"
0.16,0.01,"P and true G",4,50,0.1,"high","opp"
0.84,0.02,"Estimated G and true G",4,50,0.1,"high","opp"
0.35,0.03,"P and estimated G",4,50,0.1,"high","opp"
0.14,0.01,"P and true G",4,150,0.1,"high","opp"
0.94,0.01,"Estimated G and true G",4,150,0.1,"high","opp"
0.22,0.02,"P and estimated G",4,150,0.1,"high","opp"
0.18,0.01,"P and true G",4,500,0.1,"high","opp"
0.99,0,"Estimated G and true G",4,500,0.1,"high","opp"
0.2,0.01,"P and estimated G",4,500,0.1,"high","opp"
0.76,0.03,"P and true G",4,50,0.5,"high","opp"
0.99,0,"Estimated G and true G",4,50,0.5,"high","opp"
0.76,0.03,"P and estimated G",4,50,0.5,"high","opp"
0.82,0.02,"P and true G",4,150,0.5,"high","opp"
1,0,"Estimated G and true G",4,150,0.5,"high","opp"
0.82,0.02,"P and estimated G",4,150,0.5,"high","opp"
0.84,0.02,"P and true G",4,500,0.5,"high","opp"
1,0,"Estimated G and true G",4,500,0.5,"high","opp"
0.84,0.02,"P and estimated G",4,500,0.5,"high","opp"
