"Cosine","SE","Comparison","X..of.Traits","X..of.Families","Heritability","Multicollinearity","E.Type"
0.97,0.01,"Estimated G and true G",4,200,0.5,"medium","sim"
0.96,0.01,"P and estimated G",4,200,0.5,"medium","sim"
0.99,0,"P and true G",4,20,0.1,"high","sim"
0.87,0.02,"Estimated G and true G",4,20,0.1,"high","sim"
0.86,0.02,"P and estimated G",4,20,0.1,"high","sim"
1,0,"P and true G",4,60,0.1,"high","sim"
0.88,0.02,"Estimated G and true G",4,60,0.1,"high","sim"
0.88,0.02,"P and estimated G",4,60,0.1,"high","sim"
1,0,"P and true G",4,200,0.1,"high","sim"
0.92,0.01,"Estimated G and true G",4,200,0.1,"high","sim"
0.92,0.02,"P and estimated G",4,200,0.1,"high","sim"
1,0,"P and true G",4,20,0.5,"high","sim"
0.91,0.02,"Estimated G and true G",4,20,0.5,"high","sim"
0.91,0.02,"P and estimated G",4,20,0.5,"high","sim"
1,0,"P and true G",4,60,0.5,"high","sim"
0.98,0.01,"Estimated G and true G",4,60,0.5,"high","sim"
0.98,0.01,"P and estimated G",4,60,0.5,"high","sim"
1,0,"P and true G",4,200,0.5,"high","sim"
1,0,"Estimated G and true G",4,200,0.5,"high","sim"
1,0,"P and estimated G",4,200,0.5,"high","sim"
0.34,0.03,"P and true G",4,20,0.1,"low","opp"
0.43,0.03,"Estimated G and true G",4,20,0.1,"low","opp"
0.57,0.03,"P and estimated G",4,20,0.1,"low","opp"
0.28,0.02,"P and true G",4,60,0.1,"low","opp"
0.48,0.03,"Estimated G and true G",4,60,0.1,"low","opp"
0.46,0.03,"P and estimated G",4,60,0.1,"low","opp"
0.31,0.02,"P and true G",4,200,0.1,"low","opp"
0.46,0.03,"Estimated G and true G",4,200,0.1,"low","opp"
0.49,0.03,"P and estimated G",4,200,0.1,"low","opp"
0.62,0.03,"P and true G",4,20,0.5,"low","opp"
0.68,0.02,"Estimated G and true G",4,20,0.5,"low","opp"
0.65,0.03,"P and estimated G",4,20,0.5,"low","opp"
0.67,0.03,"P and true G",4,60,0.5,"low","opp"
0.7,0.03,"Estimated G and true G",4,60,0.5,"low","opp"
0.73,0.03,"P and estimated G",4,60,0.5,"low","opp"
0.68,0.03,"P and true G",4,200,0.5,"low","opp"
0.7,0.03,"Estimated G and true G",4,200,0.5,"low","opp"
0.71,0.03,"P and estimated G",4,200,0.5,"low","opp"
0.12,0.01,"P and true G",4,20,0.1,"medium","opp"
0.43,0.03,"Estimated G and true G",4,20,0.1,"medium","opp"
0.53,0.03,"P and estimated G",4,20,0.1,"medium","opp"
0.1,0.01,"P and true G",4,60,0.1,"medium","opp"
0.54,0.03,"Estimated G and true G",4,60,0.1,"medium","opp"
0.45,0.03,"P and estimated G",4,60,0.1,"medium","opp"
