"Disparity","SE","Comparison","X..of.Traits","X..of.Families","Heritability","Multicollinearity","E.Type"
112.93,3.37,"P and true G",4,20,0.1,"low","ind"
380.44,16.05,"Estimated G and true G",4,20,0.1,"low","ind"
96.97,0.88,"P and estimated G",4,20,0.1,"low","ind"
108.9,2.64,"P and true G",4,60,0.1,"low","ind"
524.77,23.4,"Estimated G and true G",4,60,0.1,"low","ind"
98.23,0.6,"P and estimated G",4,60,0.1,"low","ind"
111.82,3.39,"P and true G",4,200,0.1,"low","ind"
829.85,43.94,"Estimated G and true G",4,200,0.1,"low","ind"
99.25,0.46,"P and estimated G",4,200,0.1,"low","ind"
80.15,3.07,"P and true G",4,20,0.5,"low","ind"
211.78,11.83,"Estimated G and true G",4,20,0.5,"low","ind"
82.18,1.62,"P and estimated G",4,20,0.5,"low","ind"
73.66,2.51,"P and true G",4,60,0.5,"low","ind"
182.36,8.35,"Estimated G and true G",4,60,0.5,"low","ind"
82.19,1.44,"P and estimated G",4,60,0.5,"low","ind"
71.57,2.61,"P and true G",4,200,0.5,"low","ind"
175.46,7.98,"Estimated G and true G",4,200,0.5,"low","ind"
81.22,1.41,"P and estimated G",4,200,0.5,"low","ind"
95.05,1.7,"P and true G",4,20,0.1,"medium","ind"
187.66,7.85,"Estimated G and true G",4,20,0.1,"medium","ind"
96.12,1.01,"P and estimated G",4,20,0.1,"medium","ind"
90.6,0.81,"P and true G",4,60,0.1,"medium","ind"
160.08,7.23,"Estimated G and true G",4,60,0.1,"medium","ind"
97.35,0.65,"P and estimated G",4,60,0.1,"medium","ind"
90.49,0.51,"P and true G",4,200,0.1,"medium","ind"
111.63,5.37,"Estimated G and true G",4,200,0.1,"medium","ind"
95.54,0.49,"P and estimated G",4,200,0.1,"medium","ind"
57.88,1.36,"P and true G",4,20,0.5,"medium","ind"
84.88,4.64,"Estimated G and true G",4,20,0.5,"medium","ind"
68.1,1.38,"P and estimated G",4,20,0.5,"medium","ind"
52.18,0.86,"P and true G",4,60,0.5,"medium","ind"
46.66,1.97,"Estimated G and true G",4,60,0.5,"medium","ind"
59.51,0.98,"P and estimated G",4,60,0.5,"medium","ind"
50.57,0.51,"P and true G",4,200,0.5,"medium","ind"
25.35,1.07,"Estimated G and true G",4,200,0.5,"medium","ind"
54.22,0.62,"P and estimated G",4,200,0.5,"medium","ind"
92.48,0.85,"P and true G",4,20,0.1,"high","ind"
89.55,5.87,"Estimated G and true G",4,20,0.1,"high","ind"
93.63,1.13,"P and estimated G",4,20,0.1,"high","ind"
90.47,0.51,"P and true G",4,60,0.1,"high","ind"
70.13,4.98,"Estimated G and true G",4,60,0.1,"high","ind"
92.02,0.77,"P and estimated G",4,60,0.1,"high","ind"
90.33,0.29,"P and true G",4,200,0.1,"high","ind"
42.45,2.52,"Estimated G and true G",4,200,0.1,"high","ind"
89.84,0.44,"P and estimated G",4,200,0.1,"high","ind"
53.35,0.97,"P and true G",4,20,0.5,"high","ind"
34.06,2.41,"Estimated G and true G",4,20,0.5,"high","ind"
55.68,1.22,"P and estimated G",4,20,0.5,"high","ind"
50.98,0.81,"P and true G",4,60,0.5,"high","ind"
19.84,1.85,"Estimated G and true G",4,60,0.5,"high","ind"
52.13,0.77,"P and estimated G",4,60,0.5,"high","ind"
50.3,0.28,"P and true G",4,200,0.5,"high","ind"
10.68,0.74,"Estimated G and true G",4,200,0.5,"high","ind"
51.06,0.37,"P and estimated G",4,200,0.5,"high","ind"
96.69,3.56,"P and true G",4,20,0.1,"low","sim"
366.83,16.88,"Estimated G and true G",4,20,0.1,"low","sim"
95.54,1.2,"P and estimated G",4,20,0.1,"low","sim"
105.86,4.45,"P and true G",4,60,0.1,"low","sim"
573.57,24.95,"Estimated G and true G",4,60,0.1,"low","sim"
98.28,0.88,"P and estimated G",4,60,0.1,"low","sim"
107.44,4.01,"P and true G",4,200,0.1,"low","sim"
886.64,35.04,"Estimated G and true G",4,200,0.1,"low","sim"
99.1,0.54,"P and estimated G",4,200,0.1,"low","sim"
71.74,4.01,"P and true G",4,20,0.5,"low","sim"
217.54,11.73,"Estimated G and true G",4,20,0.5,"low","sim"
81.73,1.96,"P and estimated G",4,20,0.5,"low","sim"
75.33,4.6,"P and true G",4,60,0.5,"low","sim"
206.6,12.79,"Estimated G and true G",4,60,0.5,"low","sim"
82.14,1.85,"P and estimated G",4,60,0.5,"low","sim"
74.47,2.96,"P and true G",4,200,0.5,"low","sim"
187.79,8.98,"Estimated G and true G",4,200,0.5,"low","sim"
81.6,1.66,"P and estimated G",4,200,0.5,"low","sim"
42.48,2.52,"P and true G",4,20,0.1,"medium","sim"
160,8.42,"Estimated G and true G",4,20,0.1,"medium","sim"
80.29,2.53,"P and estimated G",4,20,0.1,"medium","sim"
26.18,1.06,"P and true G",4,60,0.1,"medium","sim"
154.02,7.42,"Estimated G and true G",4,60,0.1,"medium","sim"
80.53,2.47,"P and estimated G",4,60,0.1,"medium","sim"
14.01,0.7,"P and true G",4,200,0.1,"medium","sim"
106.91,6.85,"Estimated G and true G",4,200,0.1,"medium","sim"
67.51,2.58,"P and estimated G",4,200,0.1,"medium","sim"
30.35,1.43,"P and true G",4,20,0.5,"medium","sim"
84.52,3.93,"Estimated G and true G",4,20,0.5,"medium","sim"
60.73,2.38,"P and estimated G",4,20,0.5,"medium","sim"
16.44,0.76,"P and true G",4,60,0.5,"medium","sim"
50.29,2.91,"Estimated G and true G",4,60,0.5,"medium","sim"
41.45,2.05,"P and estimated G",4,60,0.5,"medium","sim"
9.11,0.51,"P and true G",4,200,0.5,"medium","sim"
22.9,1.26,"Estimated G and true G",4,200,0.5,"medium","sim"
21.93,1.27,"P and estimated G",4,200,0.5,"medium","sim"
14.69,1.52,"P and true G",4,20,0.1,"high","sim"
58.27,6.38,"Estimated G and true G",4,20,0.1,"high","sim"
44.27,3.63,"P and estimated G",4,20,0.1,"high","sim"
6.72,0.46,"P and true G",4,60,0.1,"high","sim"
46.67,4.01,"Estimated G and true G",4,60,0.1,"high","sim"
42.08,3.48,"P and estimated G",4,60,0.1,"high","sim"
4,0.36,"P and true G",4,200,0.1,"high","sim"
41.88,4.64,"Estimated G and true G",4,200,0.1,"high","sim"
34.61,3.28,"P and estimated G",4,200,0.1,"high","sim"
9.87,0.94,"P and true G",4,20,0.5,"high","sim"
34.41,3.39,"Estimated G and true G",4,20,0.5,"high","sim"
34.29,3.89,"P and estimated G",4,20,0.5,"high","sim"
5.75,0.47,"P and true G",4,60,0.5,"high","sim"
14.81,1.3,"Estimated G and true G",4,60,0.5,"high","sim"
15.75,1.52,"P and estimated G",4,60,0.5,"high","sim"
3.06,0.29,"P and true G",4,200,0.5,"high","sim"
7.97,0.76,"Estimated G and true G",4,200,0.5,"high","sim"
8.24,0.86,"P and estimated G",4,200,0.5,"high","sim"
142.58,3.49,"P and true G",4,20,0.1,"low","opp"
373.61,14.88,"Estimated G and true G",4,20,0.1,"low","opp"
98.08,1.24,"P and estimated G",4,20,0.1,"low","opp"
148.97,3.54,"P and true G",4,60,0.1,"low","opp"
574.25,25.19,"Estimated G and true G",4,60,0.1,"low","opp"
99.11,0.75,"P and estimated G",4,60,0.1,"low","opp"
152.77,4.47,"P and true G",4,200,0.1,"low","opp"
857.79,38.75,"Estimated G and true G",4,200,0.1,"low","opp"
99.16,0.58,"P and estimated G",4,200,0.1,"low","opp"
95.67,3.61,"P and true G",4,20,0.5,"low","opp"
221.79,12.17,"Estimated G and true G",4,20,0.5,"low","opp"
87.05,1.45,"P and estimated G",4,20,0.5,"low","opp"
93.22,3.38,"P and true G",4,60,0.5,"low","opp"
185.93,9.61,"Estimated G and true G",4,60,0.5,"low","opp"
84.13,1.58,"P and estimated G",4,60,0.5,"low","opp"
92.45,3.58,"P and true G",4,200,0.5,"low","opp"
178.74,8.62,"Estimated G and true G",4,200,0.5,"low","opp"
82.57,1.46,"P and estimated G",4,200,0.5,"low","opp"
166.06,2.74,"P and true G",4,20,0.1,"medium","opp"
198.09,8.16,"Estimated G and true G",4,20,0.1,"medium","opp"
105.13,2.4,"P and estimated G",4,20,0.1,"medium","opp"
166.08,2.3,"P and true G",4,60,0.1,"medium","opp"
148.49,6.08,"Estimated G and true G",4,60,0.1,"medium","opp"
121.46,2.13,"P and estimated G",4,60,0.1,"medium","opp"
166.75,1.98,"P and true G",4,200,0.1,"medium","opp"
101.77,4.56,"Estimated G and true G",4,200,0.1,"medium","opp"
140.01,2.59,"P and estimated G",4,200,0.1,"medium","opp"
93.78,2.05,"P and true G",4,20,0.5,"medium","opp"
90.22,5.4,"Estimated G and true G",4,20,0.5,"medium","opp"
86.47,1.41,"P and estimated G",4,20,0.5,"medium","opp"
94.11,1.36,"P and true G",4,60,0.5,"medium","opp"
