"Disparity","SE","Comparison","X..of.Traits","X..of.Families","Heritability","Multicollinearity","E.Type"
55.21,2.31,"Estimated G and true G",4,60,0.5,"medium","opp"
92.47,1.17,"P and estimated G",4,60,0.5,"medium","opp"
95.16,1.09,"P and true G",4,200,0.5,"medium","opp"
27.11,1.29,"Estimated G and true G",4,200,0.5,"medium","opp"
94.4,1.06,"P and estimated G",4,200,0.5,"medium","opp"
141.53,2.45,"P and true G",4,20,0.1,"high","opp"
95.99,4.98,"Estimated G and true G",4,20,0.1,"high","opp"
109.27,2.95,"P and estimated G",4,20,0.1,"high","opp"
144.05,2.45,"P and true G",4,60,0.1,"high","opp"
71.63,4.71,"Estimated G and true G",4,60,0.1,"high","opp"
132.7,2.83,"P and estimated G",4,60,0.1,"high","opp"
141.79,2.27,"P and true G",4,200,0.1,"high","opp"
42.08,2.35,"Estimated G and true G",4,200,0.1,"high","opp"
147.06,2.45,"P and estimated G",4,200,0.1,"high","opp"
79.72,1.73,"P and true G",4,20,0.5,"high","opp"
36.18,3.08,"Estimated G and true G",4,20,0.5,"high","opp"
77.11,1.9,"P and estimated G",4,20,0.5,"high","opp"
76.16,1.32,"P and true G",4,60,0.5,"high","opp"
18.52,1.69,"Estimated G and true G",4,60,0.5,"high","opp"
74.98,1.28,"P and estimated G",4,60,0.5,"high","opp"
78.12,1.28,"P and true G",4,200,0.5,"high","opp"
12.26,0.73,"Estimated G and true G",4,200,0.5,"high","opp"
77.08,1.26,"P and estimated G",4,200,0.5,"high","opp"
