"Disparity","SE","Comparison","X..of.Traits","X..of.Families","Heritability","Multicollinearity","E.Type"
29.182,1.7689,"Estimated G and true G",8,60,0.1,"high","sim"
28.9017,1.8963,"P and estimated G",8,60,0.1,"high","sim"
4.1237,0.2815,"P and true G",8,200,0.1,"high","sim"
26.911,1.813,"Estimated G and true G",8,200,0.1,"high","sim"
27.725,2.2053,"P and estimated G",8,200,0.1,"high","sim"
10.1273,0.5665,"P and true G",8,20,0.5,"high","sim"
23.9867,1.652,"Estimated G and true G",8,20,0.5,"high","sim"
23.1123,1.8124,"P and estimated G",8,20,0.5,"high","sim"
4.9003,0.2746,"P and true G",8,60,0.5,"high","sim"
12.6069,0.8396,"Estimated G and true G",8,60,0.5,"high","sim"
13.1724,0.9852,"P and estimated G",8,60,0.5,"high","sim"
3.1906,0.1815,"P and true G",8,200,0.5,"high","sim"
7.7186,0.4144,"Estimated G and true G",8,200,0.5,"high","sim"
7.5862,0.4457,"P and estimated G",8,200,0.5,"high","sim"
128.2957,1.6161,"P and true G",8,20,0.1,"low","opp"
220.1326,4.651,"Estimated G and true G",8,20,0.1,"low","opp"
93.3834,0.8109,"P and estimated G",8,20,0.1,"low","opp"
129.0821,1.5968,"P and true G",8,60,0.1,"low","opp"
346.7068,7.2001,"Estimated G and true G",8,60,0.1,"low","opp"
97.5851,0.4951,"P and estimated G",8,60,0.1,"low","opp"
130.7267,1.4498,"P and true G",8,200,0.1,"low","opp"
557.448,11.3302,"Estimated G and true G",8,200,0.1,"low","opp"
98.2505,0.2431,"P and estimated G",8,200,0.1,"low","opp"
82.5704,1.5122,"P and true G",8,20,0.5,"low","opp"
142.2418,3.9732,"Estimated G and true G",8,20,0.5,"low","opp"
77.8805,0.6885,"P and estimated G",8,20,0.5,"low","opp"
81.8284,1.1156,"P and true G",8,60,0.5,"low","opp"
170.8396,3.7239,"Estimated G and true G",8,60,0.5,"low","opp"
83.0512,0.6001,"P and estimated G",8,60,0.5,"low","opp"
82.7698,1.1372,"P and true G",8,200,0.5,"low","opp"
166.6202,3.5317,"Estimated G and true G",8,200,0.5,"low","opp"
82.1436,0.579,"P and estimated G",8,200,0.5,"low","opp"
141.8018,1.3924,"P and true G",8,20,0.1,"medium","opp"
169.8796,3.2632,"Estimated G and true G",8,20,0.1,"medium","opp"
89.8853,1.1246,"P and estimated G",8,20,0.1,"medium","opp"
144.8954,1.1491,"P and true G",8,60,0.1,"medium","opp"
158.6875,3.019,"Estimated G and true G",8,60,0.1,"medium","opp"
101.9907,0.9185,"P and estimated G",8,60,0.1,"medium","opp"
147.279,1.0166,"P and true G",8,200,0.1,"medium","opp"
127.3251,2.7669,"Estimated G and true G",8,200,0.1,"medium","opp"
117.322,0.9418,"P and estimated G",8,200,0.1,"medium","opp"
83.9604,1.1236,"P and true G",8,20,0.5,"medium","opp"
90.384,2.2035,"Estimated G and true G",8,20,0.5,"medium","opp"
77.2039,0.8838,"P and estimated G",8,20,0.5,"medium","opp"
83.1858,0.6955,"P and true G",8,60,0.5,"medium","opp"
68.4435,1.7114,"Estimated G and true G",8,60,0.5,"medium","opp"
81.9948,0.6602,"P and estimated G",8,60,0.5,"medium","opp"
82.0618,0.5875,"P and true G",8,200,0.5,"medium","opp"
39.6264,0.6812,"Estimated G and true G",8,200,0.5,"medium","opp"
81.7784,0.5184,"P and estimated G",8,200,0.5,"medium","opp"
112.0809,1.1758,"P and true G",8,20,0.1,"high","opp"
92.7407,1.7946,"Estimated G and true G",8,20,0.1,"high","opp"
77.0665,1.7709,"P and estimated G",8,20,0.1,"high","opp"
112.2734,1.054,"P and true G",8,60,0.1,"high","opp"
64.0724,1.5348,"Estimated G and true G",8,60,0.1,"high","opp"
102.3347,1.3967,"P and estimated G",8,60,0.1,"high","opp"
112.489,1.2363,"P and true G",8,200,0.1,"high","opp"
40.8626,1.5525,"Estimated G and true G",8,200,0.1,"high","opp"
109.1533,1.1354,"P and estimated G",8,200,0.1,"high","opp"
65.543,1.0939,"P and true G",8,20,0.5,"high","opp"
34.8482,1.4871,"Estimated G and true G",8,20,0.5,"high","opp"
56.4688,1.2213,"P and estimated G",8,20,0.5,"high","opp"
64.7506,0.7614,"P and true G",8,60,0.5,"high","opp"
18.1351,0.6552,"Estimated G and true G",8,60,0.5,"high","opp"
61.8458,0.8577,"P and estimated G",8,60,0.5,"high","opp"
62.59,0.649,"P and true G",8,200,0.5,"high","opp"
9.5599,0.4089,"Estimated G and true G",8,200,0.5,"high","opp"
61.3525,0.6045,"P and estimated G",8,200,0.5,"high","opp"
